,MMU,Sex,Location,Birth,Weighing Date,Age_days,Age_months,Weight
0,50674,Male,,2022-05-26,2022-12-07,195,6.41,1.33
1,50674,Male,AB5017-55,2022-05-26,2022-11-23,181,5.95,1.43
2,50674,Male,AB5017-55,2022-05-26,2022-11-07,165,5.42,1.23
3,50674,Male,NW1414-2,2022-05-26,2022-10-31,158,5.19,1.17
4,50674,Male,NW1414-2,2022-05-26,2022-09-30,127,4.17,0.98
5,50674,Male,NW1409-4,2022-05-26,2022-08-31,97,3.19,0.81
6,50674,Male,NW1409-4,2022-05-26,2022-08-01,67,2.2,0.72
7,50674,Male,NW1409-4,2022-05-26,2022-06-30,35,1.15,0.66
8,50674,Male,NW1409-4,2022-05-26,2022-05-31,5,0.16,0.57
9,50691,Male,,2022-06-03,2022-11-17,167,5.49,0.976
10,50691,Male,AB5017-56,2022-06-03,2022-11-14,164,5.39,
11,50691,Male,AB5017-56,2022-06-03,2022-11-12,162,5.32,0.948
12,50691,Male,AB5017-56,2022-06-03,2022-11-11,161,5.29,0.938
13,50691,Male,AB5017-56,2022-06-03,2022-11-08,158,5.19,1.1
14,50691,Male,AB5017-56,2022-06-03,2022-11-07,157,5.16,0.98
15,50691,Male,AB5016-65,2022-06-03,2022-10-07,126,4.14,1.2
16,50691,Male,AB5016-65,2022-06-03,2022-09-09,98,3.22,1.1
17,50691,Male,AB5016-65,2022-06-03,2022-08-09,67,2.2,0.92
18,50691,Male,AB5016-65,2022-06-03,2022-07-08,35,1.15,0.72
19,50691,Male,AB5016-65,2022-06-03,2022-06-13,10,0.33,0.59
20,50691,Male,AB5016-65,2022-06-03,2022-06-07,4,0.13,0.54
21,50583,Male,,2022-05-06,2022-11-08,186,6.11,1.35
22,50583,Male,AB5050-51,2022-05-06,2022-11-05,183,6.01,1.29
23,50583,Male,AB5050-51,2022-05-06,2022-11-01,179,5.88,1.29
24,50583,Male,AB5050-51,2022-05-06,2022-10-28,175,5.75,1.27
25,50583,Male,AB5050-51,2022-05-06,2022-10-27,174,5.72,1.29
26,50583,Male,AB5050-51,2022-05-06,2022-10-26,173,5.68,1.25
27,50583,Male,AB5050-51,2022-05-06,2022-10-25,172,5.65,1.21
28,50583,Male,AB5050-51,2022-05-06,2022-10-11,158,5.19,1.16
29,50583,Male,AB5016-88,2022-05-06,2022-09-09,126,4.14,1.08
30,50583,Male,AB5016-88,2022-05-06,2022-08-09,95,3.12,0.92
31,50583,Male,AB5016-40,2022-05-06,2022-07-08,63,2.07,0.76
32,50583,Male,AB5016-40,2022-05-06,2022-06-13,38,1.25,0.65
33,50583,Male,AB5016-40,2022-05-06,2022-06-09,34,1.12,0.63
34,50583,Male,EX141-27,2022-05-06,2022-05-15,9,0.3,0.54
35,50583,Male,EX141-27,2022-05-06,2022-05-14,8,0.26,0.53
36,50583,Male,EX141-27,2022-05-06,2022-05-13,7,0.23,0.53
37,50583,Male,EX141-27,2022-05-06,2022-05-12,6,0.2,0.52
38,50583,Male,EX141-27,2022-05-06,2022-05-11,5,0.16,0.52
39,50583,Male,EX141-27,2022-05-06,2022-05-10,4,0.13,0.56
40,50583,Male,EX141-27,2022-05-06,2022-05-09,3,0.1,0.51
41,50584,Male,,2022-05-06,2022-11-08,186,6.11,1.26
42,50584,Male,AB5050-52,2022-05-06,2022-11-05,183,6.01,1.24
43,50584,Male,AB5050-52,2022-05-06,2022-11-01,179,5.88,1.25
44,50584,Male,AB5050-52,2022-05-06,2022-10-28,175,5.75,1.26
45,50584,Male,AB5050-52,2022-05-06,2022-10-27,174,5.72,1.26
46,50584,Male,AB5050-52,2022-05-06,2022-10-26,173,5.68,1.23
47,50584,Male,AB5050-52,2022-05-06,2022-10-25,172,5.65,1.21
48,50584,Male,AB5050-52,2022-05-06,2022-10-11,158,5.19,1.2
49,50584,Male,AB5016-89,2022-05-06,2022-09-09,126,4.14,1.05
50,50584,Male,AB5016-89,2022-05-06,2022-08-09,95,3.12,0.9
51,50584,Male,AB5016-41,2022-05-06,2022-07-08,63,2.07,0.8
52,50584,Male,AB5016-41,2022-05-06,2022-06-13,38,1.25,0.67
53,50584,Male,AB5016-41,2022-05-06,2022-06-09,34,1.12,0.65
54,50584,Male,EX141-76,2022-05-06,2022-05-15,9,0.3,0.5
55,50584,Male,EX141-76,2022-05-06,2022-05-14,8,0.26,0.49
56,50584,Male,EX141-76,2022-05-06,2022-05-13,7,0.23,0.49
57,50584,Male,EX141-76,2022-05-06,2022-05-12,6,0.2,0.49
58,50584,Male,EX141-76,2022-05-06,2022-05-11,5,0.16,0.48
59,50584,Male,EX141-76,2022-05-06,2022-05-10,4,0.13,0.48
60,50584,Male,EX141-76,2022-05-06,2022-05-09,3,0.1,0.48
61,50598,Male,,2022-05-10,2022-11-08,182,5.98,1.54
62,50598,Male,AB5050-77,2022-05-10,2022-11-05,179,5.88,1.5
63,50598,Male,AB5050-77,2022-05-10,2022-11-01,175,5.75,1.46
64,50598,Male,AB5050-77,2022-05-10,2022-10-28,171,5.62,1.47
65,50598,Male,AB5050-77,2022-05-10,2022-10-27,170,5.59,1.49
66,50598,Male,AB5050-77,2022-05-10,2022-10-26,169,5.55,1.46
67,50598,Male,AB5050-77,2022-05-10,2022-10-25,168,5.52,1.45
68,50598,Male,AB5050-77,2022-05-10,2022-10-11,154,5.06,1.42
69,50598,Male,NW1406-8,2022-05-10,2022-09-15,128,4.21,1.17
70,50598,Male,NW1406-8,2022-05-10,2022-08-15,97,3.19,0.95
71,50598,Male,NW1406-8,2022-05-10,2022-07-15,66,2.17,0.75
72,50598,Male,NW1406-8,2022-05-10,2022-06-13,34,1.12,0.65
73,50598,Male,NW1406-8,2022-05-10,2022-05-13,3,0.1,0.634
74,50706,Male,,2022-06-10,2022-12-13,186,6.11,1.53
75,50706,Male,AB5050-52,2022-06-10,2022-12-10,183,6.01,1.5
76,50706,Male,AB5050-52,2022-06-10,2022-12-06,179,5.88,1.53
77,50706,Male,AB5050-52,2022-06-10,2022-12-02,175,5.75,1.52
78,50706,Male,AB5050-52,2022-06-10,2022-12-01,174,5.72,1.51
79,50706,Male,AB5050-52,2022-06-10,2022-11-30,173,5.68,1.48
80,50706,Male,AB5050-52,2022-06-10,2022-11-29,172,5.65,1.48
81,50706,Male,AB5050-52,2022-06-10,2022-11-14,157,5.16,1.45
82,50706,Male,NW1405-76,2022-06-10,2022-10-14,126,4.14,1.28
83,50706,Male,NW1405-76,2022-06-10,2022-09-15,97,3.19,1.07
84,50706,Male,NW1405-76,2022-06-10,2022-08-15,66,2.17,0.94
85,50706,Male,NW1405-76,2022-06-10,2022-07-15,35,1.15,0.77
86,50706,Male,NW1405-76,2022-06-10,2022-06-20,10,0.33,0.66
87,50706,Male,NW1405-76,2022-06-10,2022-06-14,4,0.13,0.642
88,50722,Male,,2022-06-12,2022-12-13,184,6.05,1.56
89,50722,Male,AB5050-77,2022-06-12,2022-12-10,181,5.95,1.54
90,50722,Male,AB5050-77,2022-06-12,2022-12-06,177,5.82,1.5
91,50722,Male,AB5050-77,2022-06-12,2022-12-02,173,5.68,1.49
92,50722,Male,AB5050-77,2022-06-12,2022-12-01,172,5.65,1.47
93,50722,Male,AB5050-77,2022-06-12,2022-11-30,171,5.62,1.46
94,50722,Male,AB5050-77,2022-06-12,2022-11-29,170,5.59,1.44
95,50722,Male,AB5050-77,2022-06-12,2022-11-14,155,5.09,1.37
96,50722,Male,SW1613-27,2022-06-12,2022-10-14,124,4.07,1.18
97,50722,Male,SW1613-27,2022-06-12,2022-09-15,95,3.12,1.01
98,50722,Male,SW1613-27,2022-06-12,2022-08-15,64,2.1,0.83
99,50722,Male,SW1613-27,2022-06-12,2022-07-15,33,1.08,0.65
100,50722,Male,SW1613-27,2022-06-12,2022-06-22,10,0.33,0.56
101,50722,Male,SW1613-27,2022-06-12,2022-06-16,4,0.13,0.53
102,50724,Male,,2022-06-16,2022-12-13,180,5.91,1.52
103,50724,Male,AB5050-51,2022-06-16,2022-12-10,177,5.82,1.43
104,50724,Male,AB5050-51,2022-06-16,2022-12-06,173,5.68,1.43
105,50724,Male,AB5050-51,2022-06-16,2022-12-02,169,5.55,1.43
106,50724,Male,AB5050-51,2022-06-16,2022-12-01,168,5.52,1.38
107,50724,Male,AB5050-51,2022-06-16,2022-11-30,167,5.49,1.37
108,50724,Male,AB5050-51,2022-06-16,2022-11-29,166,5.45,1.33
109,50724,Male,AB5050-51,2022-06-16,2022-11-14,151,4.96,1.28
110,50724,Male,NW1405-56,2022-06-16,2022-10-21,127,4.17,1.2
111,50724,Male,NW1405-56,2022-06-16,2022-09-22,98,3.22,1.08
112,50724,Male,SW1606-26,2022-06-16,2022-08-22,67,2.2,0.92
113,50724,Male,SW1606-26,2022-06-16,2022-07-22,36,1.18,0.73
114,50724,Male,SW1606-26,2022-06-16,2022-06-27,11,0.36,0.534
115,50724,Male,SW1606-26,2022-06-16,2022-06-21,5,0.16,0.49
116,50731,Male,,2022-06-21,2022-12-29,191,6.28,1.61
117,50731,Male,AW6205-51,2022-06-21,2022-12-07,169,5.55,1.52
118,50731,Male,AW6205-51,2022-06-21,2022-11-30,162,5.32,1.5
119,50731,Male,SW1610-1,2022-06-21,2022-11-22,154,5.06,1.48
120,50731,Male,SW1610-1,2022-06-21,2022-10-21,122,4.01,1.31
121,50731,Male,SW1610-1,2022-06-21,2022-09-24,95,3.12,1.12
122,50731,Male,SW1610-1,2022-06-21,2022-09-22,93,3.06,1.09
123,50731,Male,SW1610-1,2022-06-21,2022-08-22,62,2.04,0.94
124,50731,Male,SW1610-1,2022-06-21,2022-07-22,31,1.02,0.75
125,50731,Male,SW1610-1,2022-06-21,2022-07-01,10,0.33,0.64
126,50731,Male,SW1610-1,2022-06-21,2022-06-30,9,0.3,0.64
127,50731,Male,SW1610-1,2022-06-21,2022-06-24,3,0.1,0.62
128,50740,Male,,2022-06-27,2022-12-29,185,6.08,1.46
129,50740,Male,AW6205-52,2022-06-27,2022-12-07,163,5.36,1.34
130,50740,Male,AW6205-52,2022-06-27,2022-11-30,156,5.13,1.3
131,50740,Male,NW1405-55,2022-06-27,2022-10-31,126,4.14,1.17
132,50740,Male,NW1405-55,2022-06-27,2022-09-30,95,3.12,1.02
133,50740,Male,NW1405-55,2022-06-27,2022-08-31,65,2.14,0.9
134,50740,Male,NW1405-55,2022-06-27,2022-08-01,35,1.15,0.72
135,50740,Male,NW1405-55,2022-06-27,2022-07-07,10,0.33,0.59
136,50740,Male,NW1405-55,2022-06-27,2022-07-06,9,0.3,0.59
137,50740,Male,NW1405-55,2022-06-27,2022-06-30,3,0.1,0.556
138,50752,Male,SW1612-81,2022-06-30,2022-12-13,166,5.45,1.38
139,50752,Male,NW1414-58,2022-06-30,2022-12-05,158,5.19,1.3
140,50752,Male,NW1414-58,2022-06-30,2022-11-07,130,4.27,1.13
141,50752,Male,NW1414-58,2022-06-30,2022-10-07,99,3.25,0.97
142,50752,Male,NW1414-58,2022-06-30,2022-10-06,98,3.22,0.97
143,50752,Male,NW1414-58,2022-06-30,2022-09-06,68,2.23,0.76
144,50752,Male,NW1414-58,2022-06-30,2022-08-05,36,1.18,0.57
145,50752,Male,NW1414-58,2022-06-30,2022-07-13,13,0.43,0.49
146,50752,Male,NW1414-58,2022-06-30,2022-07-11,11,0.36,0.5
147,50752,Male,NW1414-58,2022-06-30,2022-07-05,5,0.16,0.48
148,50776,Male,SW1612-80,2022-07-18,2022-12-13,148,4.86,1.19
149,50776,Male,SW1610-79,2022-07-18,2022-11-22,127,4.17,1.05
150,50776,Male,SW1610-79,2022-07-18,2022-10-21,95,3.12,0.83
