year,animal_number,treatment,sex,age_month,infected,infection_day,date,birth,age_days,Total_WBC_ul,PMN_ul,Lymph_ul,Mono_ul,Eos_ul,Baso_ul,%PMN,%Lymph,% Mono,% Eos,%Baso
3,50583,control_H1N1,M,NA,yes,0,2022-10-25T00:00:00Z,2022-05-06T00:00:00Z,172,9400,5640,3760,0,0,0,60,40,0,0,0
3,50583,control_H1N1,M,NA,yes,1,2022-10-26T00:00:00Z,2022-05-06T00:00:00Z,173,9400,6298,3008,94,0,0,67,32,1,0,0
3,50583,control_H1N1,M,NA,yes,2,2022-10-27T00:00:00Z,2022-05-06T00:00:00Z,174,9400,5640,2914,752,94,0,60,31,8,1,0
3,50583,control_H1N1,M,NA,yes,3,2022-10-28T00:00:00Z,2022-05-06T00:00:00Z,175,7600,3192,4256,152,0,0,42,56,2,0,0
3,50583,control_H1N1,M,NA,yes,7,2022-11-01T00:00:00Z,2022-05-06T00:00:00Z,179,7000,3360,3500,70,70,0,48,50,1,1,0
3,50583,control_H1N1,M,NA,yes,11,2022-11-05T00:00:00Z,2022-05-06T00:00:00Z,183,13900,9313,4309,278,0,0,67,31,2,0,0
3,50583,control_H1N1,M,0,no,NA,2022-05-09T00:00:00Z,2022-05-06T00:00:00Z,3,6400,3200,2496,640,64,0,50,39,10,1,0
3,50583,control_H1N1,M,1,no,NA,2022-06-09T00:00:00Z,2022-05-06T00:00:00Z,34,6700,1541,4891,134,134,0,23,73,2,2,0
3,50583,control_H1N1,M,2,no,NA,2022-07-08T00:00:00Z,2022-05-06T00:00:00Z,63,7600,1748,5852,0,0,0,23,77,0,0,0
3,50583,control_H1N1,M,3,no,NA,2022-08-09T00:00:00Z,2022-05-06T00:00:00Z,95,8400,1344,6888,84,84,0,16,82,1,1,0
3,50583,control_H1N1,M,4,no,NA,2022-09-09T00:00:00Z,2022-05-06T00:00:00Z,126,15400,3542,11704,0,154,0,23,76,0,1,0
3,50583,control_H1N1,M,5,no,NA,2022-10-11T00:00:00Z,2022-05-06T00:00:00Z,158,12400,2356,9176,496,372,0,19,74,4,3,0
3,50583,control_H1N1,M,6,no,NA,2022-11-08T00:00:00Z,2022-05-06T00:00:00Z,186,7800,3510,4212,0,78,0,45,54,0,1,0
3,50584,control_H1N1,M,NA,yes,0,2022-10-25T00:00:00Z,2022-05-06T00:00:00Z,172,5700,3876,1710,114,0,0,68,30,2,0,0
3,50584,control_H1N1,M,NA,yes,1,2022-10-26T00:00:00Z,2022-05-06T00:00:00Z,173,7600,5700,1444,380,76,0,75,19,5,1,0
3,50584,control_H1N1,M,NA,yes,2,2022-10-27T00:00:00Z,2022-05-06T00:00:00Z,174,5400,1296,3780,324,0,0,24,70,6,0,0
3,50584,control_H1N1,M,NA,yes,3,2022-10-28T00:00:00Z,2022-05-06T00:00:00Z,175,5200,1820,3224,104,52,0,35,62,2,1,0
3,50584,control_H1N1,M,NA,yes,7,2022-11-01T00:00:00Z,2022-05-06T00:00:00Z,179,9300,5022,4092,93,93,0,54,44,1,1,0
3,50584,control_H1N1,M,NA,yes,11,2022-11-05T00:00:00Z,2022-05-06T00:00:00Z,183,16000,9600,6080,320,0,0,60,38,2,0,0
3,50584,control_H1N1,M,0,no,NA,2022-05-09T00:00:00Z,2022-05-06T00:00:00Z,3,8200,5822,2296,82,0,0,71,28,1,0,0
