year,id,sex,treatment,infected,date,birthday,age_months,age_days,weight_kg
1,47453,M,control,no,2018-05-30T00:00:00Z,2018-05-26T00:00:00Z,0,4,0.58
1,47453,M,control,no,2018-07-02T00:00:00Z,2018-05-26T00:00:00Z,1,37,0.72
1,47453,M,control,no,2018-07-31T00:00:00Z,2018-05-26T00:00:00Z,2,66,0.89
1,47453,M,control,no,2018-08-31T00:00:00Z,2018-05-26T00:00:00Z,3,97,1.12
1,47453,M,control,no,2018-10-01T00:00:00Z,2018-05-26T00:00:00Z,4,128,1.37
1,47453,M,control,no,2018-10-31T00:00:00Z,2018-05-26T00:00:00Z,5,158,1.57
1,47453,M,control,no,2018-11-30T00:00:00Z,2018-05-26T00:00:00Z,6,188,1.7
1,47455,F,control,no,2018-05-31T00:00:00Z,2018-05-27T00:00:00Z,0,4,0.5
1,47455,F,control,no,2018-07-02T00:00:00Z,2018-05-27T00:00:00Z,1,36,0.64
1,47455,F,control,no,2018-07-31T00:00:00Z,2018-05-27T00:00:00Z,2,65,0.74
1,47455,F,control,no,2018-08-31T00:00:00Z,2018-05-27T00:00:00Z,3,96,0.89
1,47455,F,control,no,2018-10-01T00:00:00Z,2018-05-27T00:00:00Z,4,127,1.05
1,47455,F,control,no,2018-10-31T00:00:00Z,2018-05-27T00:00:00Z,5,157,1.17
1,47455,F,control,no,2018-11-30T00:00:00Z,2018-05-27T00:00:00Z,6,187,1.17
1,47457,F,control,no,2018-06-01T00:00:00Z,2018-05-28T00:00:00Z,0,4,0.56
1,47457,F,control,no,2018-07-02T00:00:00Z,2018-05-28T00:00:00Z,1,35,0.68
1,47457,F,control,no,2018-07-31T00:00:00Z,2018-05-28T00:00:00Z,2,64,0.86
1,47457,F,control,no,2018-08-31T00:00:00Z,2018-05-28T00:00:00Z,3,95,1.06
1,47457,F,control,no,2018-10-01T00:00:00Z,2018-05-28T00:00:00Z,4,126,1.24
1,47457,F,control,no,2018-10-31T00:00:00Z,2018-05-28T00:00:00Z,5,156,1.37
